RowNames,Number,Name,Year,Type,FirstLat,FirstLon,MaxLat,MaxLon,LastLat,LastLon,MaxInt
169,697,UNNAMED,1970,3,37,-36.5,37,-36.5,37.8,-35.3,65
170,699,UNNAMED,1971,3,46,-49,46,-49,58,-43,75
171,700,BETH,1971,3,37.2,-69.9,39.7,-67.2,45.3,-61.5,75
172,703,EDITH,1971,0,13.2,-73.8,14.8,-83.2,29.5,-93.1,140
173,704,FERN,1971,1,26.4,-93.7,26.7,-94,28.5,-95.3,80
174,705,GINGER,1971,3,27.9,-63.3,33.3,-53.3,34.5,-76.5,95
175,707,IRENE,1971,0,11.4,-82.3,11.4,-82.3,11.4,-83.5,70
176,712,AGNES,1972,3,23.8,-85.6,26,-85.7,29.6,-85.6,75
177,713,BETTY,1972,3,38.8,-46.6,40.5,-42.6,40.9,-32.6,90
178,715,DAWN,1972,1,33.8,-70.4,35.2,-70.8,36.6,-73.5,70
179,718,ALICE,1973,1,30.6,-65.4,33.1,-65.1,40.3,-62.9,80
180,720,BRENDA,1973,0,19.8,-91.7,19,-92.1,19,-92.1,80
181,723,ELLEN,1973,1,26.9,-47,42.1,-45.2,48.6,-37,100
182,724,FRAN,1973,3,31.9,-55.2,36.8,-38.3,47.9,-6.5,70
183,730,BECKY,1974,1,33.7,-67.8,37.3,-61.8,43,-44.5,100
184,731,CARMEN,1974,0,17,-76,18.4,-86.8,30,-92.1,130
185,734,FIFI,1974,0,16.6,-80.2,16.3,-84.7,16.3,-88.2,95
186,735,GERTRUDE,1974,0,11,-53,11,-53,11,-56.6,65
187,738,BLANCHE,1975,1,35.9,-70,37.9,-68,41.2,-66.4,75
188,739,CAROLINE,1975,0,23.3,-94.2,24,-97,24.3,-97.8,100
189,740,DORIS,1975,3,34.9,-46.3,36.4,-44.5,42,-42.5,95
190,741,ELOISE,1975,0,19.5,-68.4,30.2,-86.3,30.2,-86.3,110
191,742,FAYE,1975,0,26.5,-60,32.7,-64.2,42.9,-40,90
192,743,GLADYS,1975,0,15.8,-44,35.3,-69.8,55,-40,120
193,748,BELLE,1976,1,26.6,-74.2,30.9,-75.3,38.8,-73.8,105
194,749,CANDICE,1976,3,41.2,-59.3,41.3,-56.4,49.9,-42.8,80
195,751,EMMY,1976,1,26.5,-62.1,35,-56.8,39.6,-25.8,90
196,752,FRANCES,1976,0,18.3,-51.6,26.3,-54.3,33.4,-35.6,100
197,754,GLORIA,1976,1,29.1,-59.8,33.1,-58.8,36.4,-51.7,90
198,755,HOLLY,1976,1,24.9,-58.1,24.9,-58.1,28.7,-56.7,65
199,756,ANITA,1977,1,26.5,-90.6,24.2,-97.1,23.1,-99.2,150
200,757,BABE,1977,1,28.7,-91.4,28.7,-91.4,29.5,-91.2,65
201,758,CLARA,1977,3,35.5,-67.7,35.5,-67.7,35.5,-64.6,65
202,759,DOROTHY,1977,1,35.5,-59.7,38.3,-57,42,-54,75
203,760,EVELYN,1977,1,39.2,-63.3,42.4,-61.5,47.4,-59.2,70
204,765,CORA,1978,0,14,-43.2,14,-44.9,13.2,-50.6,80
205,767,ELLA,1978,3,29.3,-68.8,40,-63,49,-45,120
206,768,FLOSSIE,1978,1,31.4,-44,31.8,-42.9,43.1,-35.9,85
207,769,GRETA,1978,0,14,-77.7,15.8,-84.3,17,-88.2,115
208,773,KENDRA,1978,1,26.2,-74.1,28.9,-72.6,29.3,-72.3,70
209,775,BOB,1979,1,26.2,-91.6,26.2,-91.6,29.1,-90.6,65
210,777,DAVID,1979,0,11.8,-48.5,16.6,-66.2,32.5,-81.1,150
211,779,FREDERIC,1979,0,12.9,-48.7,27.4,-87,32.2,-88.7,115
212,780,GLORIA,1979,1,24.4,-37.2,33.2,-47.8,43.4,-34,85
213,781,HENRI,1979,1,20.2,-94,20.4,-94.3,20.9,-95,75
214,783,ALLEN,1980,0,12.4,-51.4,21.8,-86.4,27.3,-99,165
215,784,BONNIE,1980,0,22,-38.7,23.7,-38.9,46.5,-38.4,85
216,785,CHARLEY,1980,3,39.6,-65.9,38.9,-66.7,38,-63.1,70
217,787,EARL,1980,0,30.4,-42.5,30.4,-42.5,45.2,-36,65
218,788,FRANCES,1980,0,13,-25.6,12.8,-29.8,45.7,-41,100
219,789,GEORGES,1980,1,40.2,-59,40.2,-59,48,-46.9,70
220,791,IVAN,1980,3,30.1,-30.5,28.1,-31.1,49.7,-27.5,90
221,792,JEANNE,1980,1,24.1,-87,24.1,-87.4,23.8,-89.8,85
222,793,KARL,1980,3,37.7,-44.7,37,-44.2,45,-32,75
223,797,DENNIS,1981,1,36.3,-73,37.1,-70.4,37.1,-70.4,70
224,798,EMILY,1981,3,34.6,-63.6,39.4,-59.9,42.3,-54.1,80
225,799,FLOYD,1981,0,21.7,-67.1,26.4,-69.1,31.4,-65.6,100
226,800,GERT,1981,0,24.8,-74.4,29,-72,34.1,-65.6,90
227,801,HARVEY,1981,0,20.2,-57.8,28.4,-62.6,37.5,-48.2,115
228,802,IRENE,1981,0,15.6,-50.1,25.8,-56.8,41.3,-36.1,105
229,804,KATRINA,1981,1,19.6,-80.8,20,-80.5,20.9,-79.5,75
230,806,ALBERTO,1982,1,24,-83.6,24,-83.6,24.8,-83.4,75
231,810,DEBBY,1982,1,25.6,-71,38.8,-62.3,50.8,-39,115
232,812,ALICIA,1983,3,27.4,-93.3,28.9,-95,29.7,-95.5,100
233,813,BARRY,1983,1,25.5,-96.4,25.4,-97.5,25.4,-97.5,70
234,814,CHANTAL,1983,3,32.8,-60,32.8,-60,34.4,-55.5,65
235,820,DIANA,1984,3,30.5,-80,33.9,-77.7,34,-78.3,115
236,824,HORTENSE,1984,3,29.7,-60.8,29.7,-60.8,30.2,-61.1,65
237,826,JOSEPHINE,1984,3,27.2,-72.4,31.4,-71.7,41.3,-56.6,90
238,827,KLAUS,1984,1,19.4,-64,19.9,-61.4,35,-55,80
239,828,LILI,1984,3,31.1,-52.4,31.1,-52.4,23.6,-57.1,70
240,830,BOB,1985,0,30.5,-80.5,30.5,-80.5,31.6,-80.5,65
241,831,CLAUDETTE,1985,3,35.2,-52.5,35.8,-40,36.4,-37,75
242,832,DANNY,1985,0,26.8,-91.5,28.9,-92.6,30,-92.7,80
243,833,ELENA,1985,0,25,-85,28.9,-84.8,30.2,-88.8,110
244,835,GLORIA,1985,0,17.7,-55.3,25.1,-70.9,41.9,-72.8,125
245,838,JUAN,1985,3,27.8,-91.2,29.4,-92,29.6,-91.3,75
246,839,KATE,1985,1,21.1,-65.3,25.2,-85.3,31.5,-83.5,105
247,841,BONNIE,1986,3,27.7,-92.2,29,-93.7,29.9,-94.3,75
248,842,CHARLEY,1986,3,34.4,-76.6,36.5,-75.8,37.4,-75.2,70
249,844,EARL,1986,1,25,-53.4,27.2,-55.4,41,-47.5,90
250,845,FRANCES,1986,1,27,-61,27.8,-59.6,29.7,-58,75
251,847,ARLENE,1987,3,36.5,-43,36.5,-43,48.5,-33,65
252,851,EMILY,1987,0,15.1,-66.3,16.7,-69.1,44.8,-42.5,110
253,852,FLOYD,1987,3,24,-82.9,24,-82.9,24.7,-81.5,65
254,856,DEBBY,1988,0,20.8,-96.6,20.8,-96.6,20.7,-97.3,65
255,859,FLORENCE,1988,3,27.4,-89.2,28.7,-89.3,28.7,-89.3,70
256,860,GILBERT,1988,0,15.9,-66.8,19.7,-83.8,24.4,-98.2,160
257,861,HELENE,1988,0,12.1,-38.8,15.3,-46.1,50.2,-34.5,125
258,863,JOAN,1988,0,11.8,-74,11.9,-83.2,12,-85,125
259,867,CHANTAL,1989,0,27.9,-92.8,28.7,-93.5,29.5,-94.3,70
260,868,DEAN,1989,0,17.3,-58.1,34,-64.9,44.1,-59.7,90
261,869,ERIN,1989,1,28.8,-44.5,34.1,-44.5,49.5,-33.5,90
262,870,FELIX,1989,1,36,-48.7,36.7,-48.3,38,-47.8,75
263,871,GABRIELLE,1989,0,11.5,-31.7,19.3,-55.7,39.1,-60.3,125
264,872,HUGO,1989,0,12.8,-43.5,14.6,-54.6,33.5,-80.3,140
265,874,JERRY,1989,0,28.1,-94.6,29.1,-95,29.1,-95,75
266,877,BERTHA,1990,3,30.2,-73.6,36.6,-67,44.2,-60.5,70
267,879,DIANA,1990,1,20.7,-94.7,20.9,-96.8,20.9,-96.8,85
268,882,GUSTAV,1990,0,14.5,-55.5,30.3,-57.5,42.1,-48.6,105
269,884,ISIDORE,1990,0,15.9,-36.8,18.5,-37.6,40.5,-48.5,85
270,885,JOSEPHINE,1990,1,30,-41.5,34.1,-38.4,38.9,-40,75
271,886,KLAUS,1990,0,17.2,-61.2,17.2,-61.2,17.7,-61.6,70
272,887,LILI,1990,3,31.2,-55.9,31.2,-55.9,33.2,-72.5,65
273,889,NANA,1990,3,22.8,-63.5,24.1,-63.8,28.9,-66.5,75
274,891,BOB,1991,3,29,-77.1,36.5,-74.5,41.4,-71.4,100
275,892,CLAUDETTE,1991,3,26.2,-58.8,27.2,-61.7,34.3,-57.4,115
276,896,GRACE,1991,3,31.6,-68.1,31.5,-63.2,32.5,-59,85
277,897,UNNAMED,1991,3,38.2,-66.5,38.2,-66.5,39.5,-65.7,65
278,899,ANDREW,1992,1,25.8,-68.3,25.4,-75.8,30.1,-91.7,135
279,900,BONNIE,1992,3,34.3,-58.1,37.5,-52.3,37.4,-51.4,95
280,901,CHARLEY,1992,3,34.7,-34.5,36.1,-33.8,36.6,-30.6,96
281,904,FRANCES,1992,3,28.7,-61.1,30.6,-58.8,37.7,-53.7,75
282,909,EMILY,1993,1,26.9,-61.7,34.5,-75.2,37.5,-57.7,100
283,910,FLOYD,1993,1,41.7,-58.3,48,-7.5,48,-5,70
284,911,GERT,1993,0,21.1,-95,21.3,-97,21.1,-98.3,85
285,912,HARVEY,1993,1,35.6,-55.2,35.6,-55.2,35.6,-55.2,65
286,915,CHRIS,1994,0,14.5,-46.8,17,-50.6,21.3,-55.6,70
287,918,FLORENCE,1994,3,28.1,-54,37,-49.9,44.2,-36.2,95
288,919,GORDON,1994,3,31.5,-74.8,33.1,-74.2,33.7,-75.7,75
289,920,ALLISON,1995,1,24.7,-86.2,24.7,-86.2,27.6,-86.1,65
290,924,ERIN,1995,0,23.6,-74.9,29.8,-86.6,30.6,-87.5,80
291,925,FELIX,1995,0,18.9,-52.4,24.3,-61,35.1,-67.5,120
292,927,HUMBERTO,1995,0,14.9,-38.3,15.7,-43.2,38.3,-39,95
293,928,IRIS,1995,0,15,-53.4,25.5,-58.8,48.9,-6.9,95
294,931,LUIS,1995,0,13.7,-37,17.4,-51.8,51.5,-48.5,120
295,932,MARILYN,1995,0,13,-57.7,19.7,-66.4,39.4,-60.6,100
296,933,NOEL,1995,0,15.2,-42.6,15.2,-42.6,32.4,-40.5,65
297,934,OPAL,1995,0,21,-92.3,27.3,-88.5,31,-86.8,130
298,936,ROXANNE,1995,0,19.2,-84.3,20,-87,20.6,-92.4,100
299,938,TANYA,1995,3,30.5,-54.9,33.8,-51.8,37.7,-37.9,75
300,940,BERTHA,1996,0,16.5,-58.4,20.3,-67.7,35,-77.6,100
301,941,CESAR,1996,0,11.6,-79.5,11.6,-79.5,12.3,-84.2,70
302,942,DOLLY,1996,0,19.2,-87.8,21.6,-97.7,21.6,-97.7,70
303,943,EDOUARD,1996,0,13.9,-38.3,15.4,-47,41.3,-67.3,125
304,944,FRAN,1996,0,16.4,-53.7,27,-74.7,35.2,-78.7,105
305,946,HORTENSE,1996,0,16.1,-64.5,25.9,-71.5,45.5,-61.5,120
306,947,ISIDORE,1996,0,11.7,-34.2,15.8,-42.9,22.6,-40.9,100
307,950,LILI,1996,1,19.6,-83.5,24.4,-74,40.5,-35.8,100
308,951,MARCO,1996,0,13.8,-78.5,13.8,-78.5,14.2,-77.8,65
309,954,BILL,1997,3,37.9,-61.1,37.9,-61.1,39.6,-58.4,65
310,956,DANNY,1997,3,29.2,-89.9,29.5,-89.4,30.4,-87.9,70
311,957,ERIKA,1997,0,15.2,-53.7,23.2,-62.5,37.1,-51.9,110
312,961,BONNIE,1998,0,21.1,-67.3,24.1,-71.5,36.7,-74.3,100
313,963,DANIELLE,1998,0,16.2,-43.3,18.4,-49.1,44.8,-48.5,90
314,964,EARL,1998,1,28.2,-89,28.7,-87.9,30.1,-85.7,85
315,966,GEORGES,1998,0,12.3,-40,16,-56.3,30.6,-88.9,135
316,968,IVAN,1998,1,29.6,-40.2,39.2,-36.3,40.7,-29.7,80
317,969,JEANNE,1998,0,13.1,-25.2,15.9,-33.4,36.2,-35.3,90
318,970,KARL,1998,3,30.4,-54,33.9,-47.3,39.1,-39,90
319,971,LISA,1998,1,41.6,-38.7,41.6,-38.7,47.1,-39.3,65
320,972,MITCH,1998,0,13.9,-77.8,16.9,-83.1,15.6,-85.7,155
321,973,NICOLE,1998,3,32.6,-42.6,35.1,-37.9,37,-35.5,75
322,975,BRET,1999,0,21.9,-94.5,25.5,-95.5,27,-97.9,125
323,976,CINDY,1999,0,14.2,-31.7,30.1,-58,37,-52.6,120
324,977,DENNIS,1999,0,23.8,-73.1,27.7,-77.3,35.1,-73.3,90
325,979,FLOYD,1999,0,19.3,-58.8,23.6,-70,35.7,-76.8,135
326,980,GERT,1999,0,15.9,-39.2,17.8,-50.8,40.3,-57.9,130
327,982,IRENE,1999,0,23.8,-82.2,34.8,-75.2,51,-45,95
328,983,JOSE,1999,0,14.9,-58.9,16.8,-61.1,32.2,-59.8,85
329,985,LENNY,1999,1,16,-78.6,17.4,-64.8,17.9,-62.8,135
330,1221,ALBERTO,2000,0,14.5,-33.2,35.9,-55.3,48.3,-39.5,110
331,1224,DEBBY,2000,0,15.4,-54,15.7,-56.3,19.5,-68.1,75
332,1226,FLORENCE,2000,3,30.1,-72.6,36.1,-61.8,36.1,-61.8,70
333,1227,GORDON,2000,1,25.2,-85.4,26.1,-84.9,28,-83.8,70
334,1229,ISAAC,2000,0,14.3,-33.2,26.6,-54.2,39.7,-47.9,120
335,1230,JOYCE,2000,0,12.4,-38.8,12.2,-42.5,10.5,-48.6,80
336,1231,KEITH,2000,0,17.9,-86.4,17.9,-87.2,22.6,-97.9,120
337,1233,MICHAEL,2000,3,30.1,-70.9,44,-58.5,51,-53.5,85
